URL,Last crawled,Status,Notes
~~https://article.maipdf.com/blog/cn/faster-pdf-loading-enhanced-performance~~,2026-01-24,done,CN MaiPDF post (use /cn2025May/)
~~https://article.maipdf.com/blog/ja/introducing-maiimg-secure-image-sharing-qr-codes~~,2026-01-24,done,JA Maiimg post (use /maiimg/)
~~https://article.maipdf.com/blog/de/modify-link~~,2026-01-24,done,DE MaiPDF post (use /2025MayMaiPDF/)
~~https://article.maipdf.com/blog/de/maiimg-link-generation-guide~~,2026-01-24,done,DE Maiimg post (use /maiimg/)
~~https://article.maipdf.com/blog/ko/image-link-generator-free-image-url-generator~~,2026-01-24,done,KO Maiimg post (use /maiimg/)
~~https://article.maipdf.com/blog/ja/maiimg-event-photo-distribution-guide~~,2026-01-23,done,JA Maiimg post (use /maiimg/)
~~https://article.maipdf.com/blog/ja/maipdf-h5-generation-guide~~,2026-01-23,done,JA offline/H5 post (use /offlinepages/)
~~https://article.maipdf.com/blog/de/offline-pdf-package-distribution-best-practices~~,2026-01-22,done,DE offline package post (use /offlinepages/)
~~https://article.maipdf.com/blog/fr/maipdf-h5-generation-guide~~,2026-01-21,done,FR offline/H5 post (use /offlinepages/)
~~https://article.maipdf.com/blog/es/free-pdf-tools-no-download-registration~~,2026-01-21,done,ES MaiPDF post (use /2025MayMaiPDF/)
~~https://article.maipdf.com/blog/es/pdf-security-best-practices-complete-guide-document-protection~~,2026-01-21,done,ES MaiPDF post (use /2025MayMaiPDF/)
~~https://article.maipdf.com/blog/es/offline-vs-online-pdf-sharing-comparison~~,2026-01-20,done,ES online vs offline post (use /offlinepages/ + /2025MayMaiPDF/)
~~https://article.maipdf.com/blog/fr/pdf-security-best-practices-complete-guide-document-protection~~,2026-01-20,done,FR MaiPDF post (use /2025MayMaiPDF/)
~~https://article.maipdf.com/blog/fr/auto-delete-images-expiration-guide~~,2026-01-20,done,FR image sharing post (avoid overclaiming “expiration”; use /maiimg/)
~~https://article.maipdf.com/blog/fr/qr-codes-future-digital-distribution~~,2026-01-19,done,FR QR code post (use /2025MayMaiPDF/)
~~https://article.maipdf.com/blog/ja/qr-codes-future-digital-distribution~~,2026-01-19,done,JA QR code post (use /2025MayMaiPDF/)
~~https://article.maipdf.com/blog/fr/enterprise-pdf-encryption-traceability~~,2026-01-17,done,FR enterprise/security post (use /2025MayMaiPDF/)
~~https://article.maipdf.com/blog/ko/easy-pdf-sharing~~,2026-01-20,done,KO MaiPDF post (use /2025MayMaiPDF/)
~~https://article.maipdf.com/blog/prevent-pdf-downloads-complete-guide-view-only-sharing~~,2025-12-21,done,No-lang route; create src/content/blog/<slug>.md
